,Obtained,Name,Source
81,,Golden Rune [4],On ground: Highway Lookout TowerLimgrave TunnelsMorne TunnelSiofra River WellStreet of Sages RuinsCaria ManorGaol CaveHighroad CaveLeyndell Royal CapitalLimgraveMinor Erdtree CatacombsSellia Crystal TunnelLiurnia of the Lakes
82,,Golden Rune [5],"On ground: Perfumer's GrottoStillwater CaveAltus PlateauForsaken RuinsGael TunnelGaol CaveRuin-Strewn PrecipiceSealed TunnelLiurnia of the Lakes Enemy drop: Millicent , Chanting Winged Dame in Ruin-Strewn Precipice and Minor Erdtree (Weeping Peninsula) (Chance),"
83,,Golden Rune [6],"On ground: Minor Erdtree (Weeping Peninsula)Stillwater CaveVolcano CaveDeeproot DepthsSeethewater CaveAltus PlateauJarburgMountaintops of the GiantsOld Altus TunnelRedmane CastleRuin-Strewn PrecipiceThe Shaded CastleWeeping PeninsulaSpiritcaller's Cave Enemy drop: Singing Bat (Chance),"
84,,Golden Rune [7],On ground: Auriza Hero's GraveLake of RotSeethewater CaveAltus TunnelCave of the ForlornConsecrated SnowfieldForbidden LandsLeyndell Royal Capital
85,,Golden Rune [8],On ground: Dragonbarrow CaveLunar Estate RuinsDeeproot DepthsLeyndell Royal Capital
86,,Golden Rune [9],"On ground: Castle SolMoonlight AltarDeeproot DepthsAltus PlateauLeyndell Royal CapitalSealed Tunnel Enemy drop: Chanting Winged Dame in Fort Faroth (Chance),"
87,,Gourmet Scorpion Stew,
88,,Gourmet Scorpion Stew [2],
89,,Gravity Stone Chunk,"On ground: Sellia Crystal Tunnel Buy from merchant: Hermit Merchant Ainsel River Enemy drop: Fallingstar Beast in Sellia Crystal Tunnel and Altus Plateau, Starcaller (Chance),"
90,,Gravity Stone Fan,"On ground: Sellia Crystal Tunnel Buy from merchant: Hermit Merchant Ainsel River Enemy drop: Fallingstar Beast in Altus Plateau, Starcaller (Chance),"
91,,Hefty Fetid Pot,
92,,Hefty Fire Pot,
93,,Hefty Fly Pot,
94,,Hefty Freezing Pot,
95,,Hefty Frenzied Flame Pot,
96,,Hefty Furnace Pot,
97,,Hefty Lightning Pot,
98,,Hefty Magic Pot,
99,,Hefty Oil Pot,
100,,Hefty Poison Pot,
101,,Hefty Rancor Pot,
102,,Hefty Red Lightning Pot,
103,,Hefty Rock Pot,
104,,Hefty Rot Pot,
105,,Hefty Volcano Pot,
106,,Hero's Rune [1],"On ground: Leyndell Royal CapitalSpiritcaller's Cave Enemy drop: Tree Sentinel in Altus Plateau,"
107,,Hero's Rune [2],On ground: Consecrated SnowfieldCave of the Forlorn
108,,Hero's Rune [3],On ground: Mohgwyn Palace
109,,Hero's Rune [4],On ground: Mohgwyn Palace
110,,Hero's Rune [5],On ground: Consecrated SnowfieldLeyndell Royal CapitalYelough Anix Tunnel
111,,Holy Grease,Crafted with Missionary's Cookbook [4] On ground: Leyndell Royal Capital
112,,Holy Water Pot,Crafted with Missionary's Cookbook [1]
113,,Holyproof Dried Liver,Crafted with Missionary's Cookbook [6] On ground: Windmill VillageAltus Plateau
114,,Holyproof Pickled Liver,
115,,Immunizing Cured Meat,Crafted with Armorer's Cookbook [5] On ground: Siofra RiverTombsward CaveLimgraveSiofra River WellWeeping Peninsula Buy from merchant: Nomadic Merchant North Liurnia of the Lakes
116,,Immunizing White Cured Meat,Crafted with Armorer's Cookbook [5] On ground: Consecrated SnowfieldLiurnia of the Lakes
117,,Innard Meat,
118,,Invigorating Cured Meat,Crafted with Nomadic Warrior's Cookbook [2] On ground: Zamor RuinsConsecrated SnowfieldMountaintops of the GiantsOrdina Liturgical Town
119,,Invigorating White Cured Meat,Crafted with Nomadic Warrior's Cookbook [2] On ground: Woodfolk RuinsAltus PlateauSpiritcaller's Cave Buy from merchant: Nomadic Merchant North Liurnia of the Lakes
120,,Iris of Grace,
121,,Iris of Occultation,
122,,Ironjar Aromatic,Crafted with Perfumer's Cookbook [3]
123,,Kukri,On ground: Earthbore CaveRuin-Strewn Precipice Buy from merchant: Nomadic Merchant Castle Morne Rampart
124,,Lamenter's Mask,
125,,Lands Between Rune,Must choose this keepsake during character creation
126,,Large Glintstone Scrap,On ground: Limgrave TunnelsMorne TunnelAltus PlateauGael TunnelRaya Lucaria Crystal TunnelSealed Tunnel
127,,Lightning Grease,Crafted with Ancient Dragon Apostle's Cookbook [1] On ground: Fringefolk Hero's GraveWindmill VillageAltus PlateauRuin-Strewn PrecipiceLiurnia of the Lakes
128,,Lightning Pot,Crafted with Ancient Dragon Apostle's Cookbook [2]
129,,Lightningproof Dried Liver,Crafted with Ancient Dragon Apostle's Cookbook [4] On ground: Lake of RotLeyndell Royal Capital
130,,Lightningproof Pickled Liver,
131,,Lord's Rune,"On ground: Mohgwyn Dynasty MausoleumMohgwyn PalaceConsecrated SnowfieldElphael, Brace of the Haligtree Enemy drop: Erdtree Avatar in Leyndell Royal Capital,"
132,,Lulling Branch,
133,,Magic Grease,Crafted with Glintstone Craftsman's Cookbook [5] On ground: Caria ManorConverted TowerCapital OutskirtsWyndham Catacombs
134,,Magic Pot,Crafted with Glintstone Craftsman's Cookbook [4]
135,,Margit's Shackle,Buy from merchant: Patches Quest: Patches
136,,Marika's Rune,
137,,Messmerfire Grease,
138,,Miquella's Needle,Quest: Millicent
139,,Mohg's Shackle,On ground: Subterranean Shunning-Grounds
140,,Neutralizing Boluses,Crafted with Armorer's Cookbook [2] Buy from merchant: Nomadic Merchant West Limgrave
141,,Numen's Rune,"On ground: Divine Tower of CaelidConsecrated SnowfieldMohgwyn Palace Enemy drop: Giant Ant (Queen) in Deeproot Depths (Chance),"
142,,Oil Pot,Crafted with Nomadic Warrior's Cookbook [17]
143,,Omen Bairn,"Enemy drop: Omen (Subterranean Shunning-Grounds) ,"
144,,Opaline Pickled Liver,
145,,Pickled Turtle Neck,Crafted with Nomadic Warrior's Cookbook [3] On ground: Castle MorneEarthbore CaveConsecrated SnowfieldStormgateWeeping Peninsula Buy from merchant: Nomadic Merchant North Limgrave
146,,Poison Grease,"Crafted with Nomadic Warrior's Cookbook [8] On ground: Sellia, Town of SorcerySeethewater Cave"
147,,Poison Pot,Crafted with Nomadic Warrior's Cookbook [14]
148,,Poison Spraymist,Crafted with Perfumer's Cookbook [2]
149,,Poisonbone Dart,Crafted with Nomadic Warrior's Cookbook [14] On ground: Tombsward CaveWoodfolk RuinsSeethewater CaveAltus PlateauLeyndell Royal CapitalThe Shaded Castle Buy from merchant: Nomadic Merchant Caelid Highway North
150,,Poisoned Stone,"On ground: Altus PlateauSealed Tunnel Buy from merchant: Nomadic Merchant Caelid Highway North Enemy drop: Miner in Sealed Tunnel (Chance),"
151,,Poisoned Stone Clump,On ground: Subterranean Shunning-Grounds Buy from merchant: Nomadic Merchant Caelid Highway North
152,,Polter Stone,
153,,Preserving Boluses,Crafted with Armorer's Cookbook [6] On ground: Lake of RotShack of the RottingSiofra RiverCaelidSiofra River Well Buy from merchant: Nomadic Merchant Caelid Highway North
154,,Priestess Heart,
155,,Pureblood Knight's Medal,Quest: White Mask Varre
156,,Radiant Baldachin's Blessing,Quest: Fia
157,,Rainbow Stone,"On ground: Lux RuinsWeeping PeninsulaCoastal CaveEarthbore CaveAcademy Gate TownAltus PlateauGaol CaveSiofra RiverSiofra River WellLiurnia of the Lakes Enemy drop: Demi-Human (Chance),"
158,,Rancor Pot,Crafted with Nomadic Warrior's Cookbook [9]
159,,Raw Meat Dumpling,"On ground: Revenger's Shack Enemy drop: Edgar The Revenger , Living Jar (Chance),"
160,,Red Lightning Pot,
161,,Redmane Fire Pot,Crafted with Armorer's Cookbook [4]
162,,Regal Omen Bairn,Buy from merchant: Enia
163,,Rejuvenating Boluses,Crafted with Missionary's Cookbook [7] On ground: Consecrated SnowfieldConsecrated Snowfield Catacombs
164,,Rock Heart,
165,,Roped Fetid Pot,Crafted with Nomadic Warrior's Cookbook [4]
166,,Roped Fire Pot,Crafted with Nomadic Warrior's Cookbook [7]
167,,Roped Fly Pot,Crafted with Nomadic Warrior's Cookbook [24]
168,,Roped Frenzied Flame Pot,
169,,Roped Holy Water Pot,Crafted with Missionary's Cookbook [1]
170,,Roped Lightning Pot,Crafted with Ancient Dragon Apostle's Cookbook [2]
171,,Roped Magic Pot,Crafted with Glintstone Craftsman's Cookbook [4]
172,,Roped Oil Pot,Crafted with Nomadic Warrior's Cookbook [17]
173,,Roped Poison Pot,Crafted with Nomadic Warrior's Cookbook [14]
174,,Roped Volcano Pot,Crafted with Nomadic Warrior's Cookbook [20]
175,,Rot Grease,Crafted with Nomadic Warrior's Cookbook [22] On ground: Caelid Waypoint RuinsConsecrated SnowfieldSellia Crystal TunnelThe Shaded Castle
176,,Rot Pot,Crafted with Nomadic Warrior's Cookbook [22]
177,,Rowa Raisin,Crafted with Rowa Fruit
178,,Royal Magic Grease,
179,,Rune Arc,"On ground: Academy Crystal CaveBlack Knife CatacombsCaria ManorCastle MorneCliffbottom CatacombsDivine Tower of CaelidFort GaelRoad's End CatacombsSellia Crystal TunnelSlumbering Wolfs ShackSubterranean Shunning-GroundsUnsightly CatacombsVillage of the AlbinauricsWeeping PeninsulaWindmill VillageMohgwyn PalaceFrenzied Flame ProscriptionLiurnia of the LakesCaelidAltus PlateauAltus TunnelBellum HighwayConsecrated SnowfieldGaol CaveMountaintops of the GiantsNokron, Eternal CityRuin-Strewn PrecipiceYelough Anix TunnelDeeproot DepthsSpiritcaller's Cave Buy from merchant: Nomadic Merchant North Liurnia of the LakesHermit Merchant (Leyndell)Hermit Merchant Mountaintops EastNomadic Merchant Mohgwyn PalaceTwin Maiden Husks Enemy drop: Juno Hoslow, Knight of Blood , Old Knight Istvan , Rileigh the Idle , Giant Ant (Queen) in Ainsel River and Deeproot Depths (Chance), Giant Rat in Limgrave and Tombsward Cave (Chance), Great Horned Tragoth (Chance),"
180,,Sacred Bloody Flesh,
181,,Sacred Order Pot,Crafted with Missionary's Cookbook [5]
182,,Scorpion Stew,
183,,Scorpion Stew [2],
184,,Shadow Realm Rune [1],
185,,Shadow Realm Rune [2],
186,,Shadow Realm Rune [3],
187,,Shadow Realm Rune [4],
188,,Shield Grease,Crafted with Glintstone Craftsman's Cookbook [4]
189,,Silver Horn Tender,
190,,Silver-Pickled Fowl Foot,Crafted with Missionary's Cookbook [3] On ground: Divine Tower of LimgraveLimgraveSubterranean Shunning-GroundsLiurnia of the Lakes Buy from merchant: Gatekeeper Gostoc
191,,Sleep Pot,Crafted with Fevor's Cookbook [1]
192,,Soap,Crafted with Nomadic Warrior's Cookbook [17] On ground: Siofra River Well Buy from merchant: Abandoned Merchant Siofra River
193,,Soft Cotton,Crafted with Nomadic Warrior's Cookbook [7] On ground: Morne TunnelWoodfolk RuinsDivine Tower of LimgraveAltus PlateauLakeside Crystal CaveRuin-Strewn PrecipiceLiurnia of the Lakes
194,,Soporific Grease,Crafted with Fevor's Cookbook [2] On ground: Mt Gelmir
195,,Spark Aromatic,Crafted with Perfumer's Cookbook [1]
196,,Spellproof Dried Liver,Crafted with Nomadic Warrior's Cookbook [11] On ground: Black Knife Catacombs
197,,Spellproof Pickled Liver,
198,,Spirit Raisin,
199,,Stanching Boluses,Crafted with Nomadic Warrior's Cookbook [7] On ground: Morne TunnelOld Altus Tunnel Buy from merchant: Nomadic Merchant West LimgraveNomadic Merchant Mohgwyn Palace
200,,Starlight Shards,On ground: Cathedral of Manus CelesFort FarothMoonlight AltarLimgraveMountaintops of the GiantsStormhillLiurnia of the LakesMt Gelmir
201,,Stimulating Boluses,Crafted with Nomadic Warrior's Cookbook [16] Buy from merchant: Nomadic Merchant West Limgrave
202,,Swarm Pot,Crafted with Nomadic Warrior's Cookbook [24]
203,,Sweet Raisin,Crafted with Nomadic Warrior's Cookbook [19]
204,,Thawfrost Boluses,Crafted with Nomadic Warrior's Cookbook [16] On ground: Castle SolConsecrated SnowfieldMountaintops of the Giants Buy from merchant: Hermit Merchant Mountaintops East
205,,Thiollier's Concoction,
206,,Throwing Dagger,On ground: Castle MorneLakeside Crystal CaveLimgraveWeeping PeninsulaStormveil Castle Buy from merchant: Merchant Kalé
207,,Uplifting Aromatic,Crafted with Perfumer's Cookbook [1]
208,,Volcano Pot,Crafted with Nomadic Warrior's Cookbook [20]
209,,Warming Stone,Crafted with Nomadic Warrior's Cookbook [19] On ground: Dragonbarrow CaveFort GaelLake of RotMinor Erdtree (Consecrated Snowfield)Perfumer's GrottoWeeping PeninsulaConsecrated SnowfieldAltus PlateauChurch of IrithHidden Path to the HaligtreeMountaintops of the GiantsDeeproot DepthsLiurnia of the Lakes
210,,Well-Pickled Turtle Neck,
211,,Wraith Calling Bell,On ground: Laskyar Ruins
0,,Ancient Dragon Smithing Stone,"On ground: Mountaintops of the GiantsConsecrated SnowfieldYelough Anix Tunnel Buy from merchant: Gurranq Beast ClergymanGatekeeper Gostoc Quest: Nepheli LouxSorceress SellenGurranq Beast Clergyman Enemy drop: Night's Cavalry in Consecrated Snowfield, Farum Azula Dragon (Chance),"
1,,Ghost Glovewort [1],On ground: Ainsel RiverLimgraveSiofra RiverSiofra River WellStormfoot CatacombsTombsward CatacombsUhl Palace Ruins
2,,Ghost Glovewort [2],"On ground: Ainsel RiverHallowhorn GroundsImpaler's CatacombsRoad's End CatacombsSiofra River Enemy drop: Revenant in Laskyar Ruins and Lunar Estate Ruins (Chance),"
3,,Ghost Glovewort [3],"On ground: Black Knife CatacombsCliffbottom CatacombsNokron, Eternal CitySiofra River"
4,,Ghost Glovewort [4],"On ground: Altus PlateauDeeproot DepthsNokron, Eternal CitySainted Hero's GraveSiofra RiverThe Shaded CastleDeeproot Depths"
5,,Ghost Glovewort [5],"On ground: Nokron, Eternal CitySainted Hero's GraveSiofra RiverUnsightly CatacombsDeeproot Depths"
6,,Ghost Glovewort [6],On ground: Ainsel RiverAinsel River MainAuriza Hero's GraveAuriza Side TombLeyndell CatacombsUhl Palace RuinsWyndham CatacombsDeeproot Depths
7,,Ghost Glovewort [7],"On ground: Ainsel RiverAinsel River MainNokstella, Eternal CityUhl Palace RuinsDeeproot Depths"
8,,Ghost Glovewort [8],"On ground: Ainsel RiverLeyndell CatacombsNokstella, Eternal CityMohgwyn Palace"
9,,Ghost Glovewort [9],"On ground: Consecrated Snowfield CatacombsGiant-Conquering Hero's GraveGrand CloisterLeyndell CatacombsMohgwyn Dynasty MausoleumMountaintops of the GiantsConsecrated SnowfieldOrdina Liturgical Town Enemy drop: Invisible Warrior (Chance), Revenant in Elphael, Brace of the Haligtree (Chance),"
10,,Golden Seed,"On ground: Academy Gate TownCapital OutskirtsCaria ManorFlame PeakForbidden LandsFringefolk Hero's GraveGrand CloisterLake of RotLimgraveMistwoodMountaintops of the GiantsNokstella, Eternal CitySellia, Town of SorcerySiofra RiverWindmill VillageMohgwyn PalaceLeyndell Royal CapitalConsecrated SnowfieldMinor Erdtree (Altus Plateau)CaelidMt GelmirStormhill ShackAltus PlateauFort HaightStormhill Quest: Kenneth HaightRoderika Enemy drop: Putrid Tree Spirit , Ulcerated Tree Spirit in Fringefolk Hero's Grave and Stormveil Castle and Grand Cloister and Giants' Mountaintop Catacombs and Elphael, Brace of the Haligtree,"
11,,Grave Glovewort [1],"On ground: Deathtouched CatacombsImpaler's CatacombsLimgraveMountaintops of the GiantsMurkwater CatacombsMurkwater CaveStormfoot CatacombsTombsward CatacombsSpiritcaller's Cave Enemy drop: Lesser Spirit-Caller Snail (Chance), Spirit Jellyfish (Chance),"
12,,Grave Glovewort [2],On ground: Black Knife CatacombsCliffbottom CatacombsImpaler's CatacombsRoad's End CatacombsTombsward CatacombsLiurnia of the Lakes
13,,Grave Glovewort [3],On ground: Black Knife CatacombsCliffbottom CatacombsMinor Erdtree CatacombsMountaintops of the GiantsRoad's End CatacombsSainted Hero's GraveLiurnia of the LakesSpiritcaller's Cave
14,,Grave Glovewort [4],On ground: Black Knife CatacombsCaelid CatacombsMinor Erdtree CatacombsUnsightly CatacombsWyndham CatacombsSainted Hero's Grave
15,,Grave Glovewort [5],On ground: Auriza Side TombMinor Erdtree CatacombsUnsightly CatacombsWyndham CatacombsSainted Hero's Grave
16,,Grave Glovewort [6],On ground: Auriza Side Tomb
17,,Grave Glovewort [7],On ground: Cave of the ForlornGiant-Conquering Hero's GraveMountaintops of the GiantsConsecrated Snowfield
18,,Grave Glovewort [8],On ground: Consecrated Snowfield CatacombsGiant-Conquering Hero's GraveLeyndell CatacombsMountaintops of the GiantsConsecrated Snowfield
19,,Grave Glovewort [9],On ground: Consecrated Snowfield CatacombsHidden Path to the HaligtreeMohgwyn PalaceConsecrated Snowfield
20,,Great Ghost Glovewort,"On ground: Ainsel RiverMohgwyn Dynasty MausoleumNight's Sacred GroundNokron, Eternal CityNokstella, Eternal City"
21,,Great Grave Glovewort,"On ground: Giant-Conquering Hero's Grave Enemy drop: Putrid Grave Warden Duelist ,"
22,,Revered Spirit Ash,
23,,Sacred Tear,On ground: Ailing VillageAltus PlateauBellum ChurchBellum HighwayCallu Baptismal ChurchChurch of InhibitionChurch of IrithChurch of PilgrimageChurch of ReposeChurch of the PlagueFirst Church of MarikaFourth Church of MarikaMountaintops of the GiantsSecond Church of MarikaStormcaller ChurchThird Church of MarikaWeeping PeninsulaLiurnia of the Lakes
24,,Scadutree Fragment,
25,,Smithing Stone [1],"On ground: Academy Gate TownAinsel RiverBridge of SacrificeCastle MorneChurch of EllehFort HaightHighroad CaveLimgraveLimgrave TunnelsMistwoodMorne TunnelRaya Lucaria Crystal TunnelStormfoot CatacombsStormgateStormhillSummonwater VillageUhl Palace RuinsWeeping PeninsulaLiurnia of the Lakes Buy from merchant: Nomadic Merchant West LimgraveNomadic Merchant East LimgraveNomadic Merchant North LimgraveNomadic Merchant Castle Morne RampartNomadic Merchant Liurnia of the Lakes Enemy drop: Golem (Halberd) (Chance), Golem (Bow) (Chance), Fanged Imp (Chance), Lesser Pumpkin Head (Chance), Mausoleum Soldier (Chance), Miner (Chance), Troll (Chance),"
26,,Smithing Stone [2],"On ground: Academy Gate TownAinsel RiverCastle MorneChurch of Dragon CommunionHighroad CaveLakeside Crystal CaveLimgraveMistwoodMistwood RuinsNokron, Eternal CityRaya Lucaria Crystal TunnelSiofra RiverWeeping PeninsulaLiurnia of the Lakes Buy from merchant: Nomadic Merchant Castle Morne RampartNomadic Merchant Liurnia of the LakesIsolated Merchant Weeping Peninsula Enemy drop: Raya Lucaria Soldier (Chance),"
27,,Smithing Stone [3],"On ground: Ainsel RiverCaria ManorJarburgLaskyar RuinsNight's Sacred GroundNokron, Eternal CityRaya Lucaria Crystal TunnelRuin-Strewn PrecipiceSiofra RiverUhl Palace RuinsLiurnia of the Lakes"
28,,Smithing Stone [4],On ground: Ainsel RiverAinsel River MainAltus PlateauArtist's Shack (Liurnia of the Lakes)Caria ManorForsaken RuinsGael TunnelLakeside Crystal CaveRedmane CastleRuin-Strewn PrecipiceSiofra RiverSiofra River WellThe Shaded CastleUhl Palace RuinsDeeproot DepthsLeyndell Royal CapitalLiurnia of the Lakes
29,,Smithing Stone [5],"On ground: Altus PlateauAltus TunnelCastle SolNokron, Eternal CityOld Altus TunnelRedmane CastleRuin-Strewn PrecipiceSealed TunnelSellia Crystal TunnelThe Shaded CastleWyndham CatacombsWyndham RuinsLeyndell Royal CapitalLiurnia of the Lakes"
30,,Smithing Stone [6],"On ground: Ainsel RiverCapital OutskirtsCastle SolCathedral of the ForsakenGrand CloisterLake of RotNokstella, Eternal CityRedmane CastleSealed TunnelDeeproot DepthsMohgwyn PalaceLeyndell Royal CapitalConsecrated Snowfield Enemy drop: Fallingstar Beast in Altus Plateau, Full-Grown Fallingstar Beast ,"
31,,Smithing Stone [7],"On ground: Castle SolGrand CloisterGuardians' GarrisonLake of RotMoonlight AltarMountaintops of the GiantsSellia Crystal TunnelSubterranean Shunning-GroundsMohgwyn PalaceConsecrated SnowfieldLiurnia of the Lakes Enemy drop: Fallingstar Beast in Sellia Crystal Tunnel,"
32,,Smithing Stone [8],On ground: Lunar Estate RuinsMoonlight AltarMohgwyn PalaceConsecrated SnowfieldYelough Anix TunnelLiurnia of the Lakes
33,,Somber Ancient Dragon Smithing Stone,"On ground: Mohgwyn Dynasty MausoleumLeyndell, Capital of Ash Quest: Latenna Enemy drop: Anastasia, Tarnished-Eater in Ordina Liturgical Town,"
34,,Somber Smithing Stone [1],"On ground: Church of Dragon CommunionLimgraveLimgrave TunnelsMorne TunnelRaya Lucaria Crystal Tunnel Buy from merchant: War Counselor Iji Enemy drop: Full-Grown Fallingstar Beast , Lion Guardian in Stormveil Castle,"
35,,Somber Smithing Stone [2],"On ground: Gael TunnelRaya Lucaria Crystal TunnelSiofra RiverWeeping PeninsulaLiurnia of the Lakes Buy from merchant: War Counselor Iji Quest: Blaidd Enemy drop: Lesser Spider Hand (Chance), Spider Hand (Chance),"
36,,Somber Smithing Stone [3],"On ground: Caria ManorRaya Lucaria Crystal TunnelLiurnia of the Lakes Buy from merchant: War Counselor Iji Enemy drop: Battlemage (Chance), Sorcerer Miner (Chance),"
37,,Somber Smithing Stone [4],"On ground: Gael TunnelNokron, Eternal CityOld Altus TunnelRedmane CastleRuin-Strewn PrecipiceSellia Crystal TunnelLiurnia of the LakesCaelidMt Gelmir Buy from merchant: War Counselor Iji"
38,,Somber Smithing Stone [5],"On ground: Altus PlateauAltus TunnelGaol CaveNokron, Eternal CityOld Altus TunnelRedmane CastleSealed TunnelSellia Crystal TunnelSiofra RiverSwamp of AeoniaLeyndell Royal CapitalCaelid Enemy drop: Fallingstar Beast in Altus Plateau,"
39,,Somber Smithing Stone [6],"On ground: Ainsel RiverAltus PlateauLake of RotNokron, Eternal CityNokstella, Eternal CityOld Altus TunnelSellia Crystal TunnelSiofra AqueductSubterranean Shunning-GroundsDeeproot DepthsMt Gelmir Enemy drop: Lesser Crucible Knight in Siofra Aqueduct, Fallingstar Beast in Sellia Crystal Tunnel,"
40,,Somber Smithing Stone [7],"On ground: Ainsel RiverFirst Church of MarikaFlame PeakForbidden LandsLake of RotMountaintops of the GiantsNokstella, Eternal CityDeeproot Depths Enemy drop: Spider Hand (Chance),"
41,,Somber Smithing Stone [8],"On ground: Lake of RotMoonfolk RuinsMoonlight AltarMountaintops of the GiantsSubterranean Shunning-GroundsCastle SolConsecrated SnowfieldYelough Anix Tunnel Enemy drop: Teardrop Scarab in Mountaintops of the Giants, Battlemage in Caelid (Chance),"
42,,Somber Smithing Stone [9],On ground: Lake of RotApostate DerelictConsecrated SnowfieldYelough Anix Tunnel
0,,Ancient Dragon Apostle's Cookbook [1],On ground: Wyndham Catacombs
1,,Ancient Dragon Apostle's Cookbook [2],Buy from merchant: Nomadic Merchant West Altus Plateau
2,,Ancient Dragon Apostle's Cookbook [3],On ground: Cathedral of Dragon Communion
3,,Ancient Dragon Apostle's Cookbook [4],On ground: Crumbling Farum Azula
4,,Ancient Dragon Knight's Cookbook [1],
5,,Ancient Dragon Knight's Cookbook [2],
6,,Antiquity Scholar's Cookbook [1],
7,,Antiquity Scholar's Cookbook [2],
8,,Armorer's Cookbook [1],On ground: Limgrave
9,,Armorer's Cookbook [2],Buy from merchant: Nomadic Merchant West Limgrave
10,,Armorer's Cookbook [3],Buy from merchant: Nomadic Merchant East Limgrave
11,,Armorer's Cookbook [4],On ground: Redmane Castle
12,,Armorer's Cookbook [5],On ground: Redmane Castle
13,,Armorer's Cookbook [6],On ground: Siofra River Well
14,,Armorer's Cookbook [7],On ground: Fort Laiedd
15,,Battlefield Priest's Cookbook [1],
16,,Battlefield Priest's Cookbook [2],
17,,Battlefield Priest's Cookbook [3],
18,,Battlefield Priest's Cookbook [4],
19,,Fevor's Cookbook [1],On ground: Summonwater Village
20,,Fevor's Cookbook [2],Buy from merchant: Isolated Merchant Raya Lucaria
21,,Fevor's Cookbook [3],Buy from merchant: Gideon Ofnir
22,,Finger-Weaver's Cookbook [1],
23,,Finger-Weaver's Cookbook [2],
24,,Fire Knight's Cookbook [1],
25,,Fire Knight's Cookbook [2],
26,,Forager Brood Cookbook [1],
27,,Forager Brood Cookbook [2],
28,,Forager Brood Cookbook [3],
29,,Forager Brood Cookbook [4],
30,,Forager Brood Cookbook [5],
31,,Forager Brood Cookbook [6],
32,,Forager Brood Cookbook [7],
33,,Frenzied's Cookbook [1],On ground: Frenzied Flame Village
34,,Frenzied's Cookbook [2],On ground: Cathedral of the Forsaken
35,,Glintstone Craftsman's Cookbook [1],On ground: Church of Irith
36,,Glintstone Craftsman's Cookbook [2],On ground: Laskyar Ruins
37,,Glintstone Craftsman's Cookbook [3],On ground: Highway Lookout Tower
38,,Glintstone Craftsman's Cookbook [4],On ground: Academy Gate Town
39,,Glintstone Craftsman's Cookbook [5],On ground: Raya Lucaria Academy
40,,Glintstone Craftsman's Cookbook [6],On ground: Caria Manor
41,,Glintstone Craftsman's Cookbook [7],"Buy from merchant: Pidia, Carian Servant"
42,,Glintstone Craftsman's Cookbook [8],On ground: Albinauric Rise
43,,Grave Keeper's Cookbook [1],
44,,Grave Keeper's Cookbook [2],
45,,Greater Potentate's Cookbook [10],
46,,Greater Potentate's Cookbook [11],
47,,Greater Potentate's Cookbook [12],
48,,Greater Potentate's Cookbook [13],
49,,Greater Potentate's Cookbook [14],
50,,Greater Potentate's Cookbook [1],
51,,Greater Potentate's Cookbook [2],
52,,Greater Potentate's Cookbook [3],
53,,Greater Potentate's Cookbook [4],
54,,Greater Potentate's Cookbook [5],
55,,Greater Potentate's Cookbook [6],
56,,Greater Potentate's Cookbook [7],
57,,Greater Potentate's Cookbook [8],
58,,Greater Potentate's Cookbook [9],
59,,Igon's Cookbook [1],
60,,Igon's Cookbook [2],
61,,Loyal Knight's Cookbook,
62,,Mad Craftsman's Cookbook [1],
63,,Mad Craftsman's Cookbook [2],
64,,Mad Craftsman's Cookbook [3],
65,,Missionary's Cookbook [1],Buy from merchant: Merchant Kalé
66,,Missionary's Cookbook [2],Buy from merchant: Patches Quest: Patches
67,,Missionary's Cookbook [3],On ground: Smoldering Church
68,,Missionary's Cookbook [4],On ground: Minor Erdtree Church
69,,Missionary's Cookbook [5],On ground: Siofra Aqueduct
70,,Missionary's Cookbook [6],On ground: Volcano Manor
71,,Missionary's Cookbook [7],Buy from merchant: Hermit Merchant Mountaintops East
72,,Nomadic Warrior's Cookbook [10],On ground: Stormveil Castle
73,,Nomadic Warrior's Cookbook [11],Buy from merchant: Nomadic Merchant Liurnia of the Lakes
74,,Nomadic Warrior's Cookbook [12],On ground: Rose Church
75,,Nomadic Warrior's Cookbook [13],Buy from merchant: Nomadic Merchant North Liurnia of the Lakes
76,,Nomadic Warrior's Cookbook [14],On ground: Smoldering Church
77,,Nomadic Warrior's Cookbook [15],Buy from merchant: Nomadic Merchant Caelid South
78,,Nomadic Warrior's Cookbook [16],Buy from merchant: Hermit Merchant Ainsel River
79,,Nomadic Warrior's Cookbook [17],Buy from merchant: Abandoned Merchant Siofra River
80,,Nomadic Warrior's Cookbook [18],Buy from merchant: Abandoned Merchant Siofra River
81,,Nomadic Warrior's Cookbook [19],On ground: Woodfolk Ruins
82,,Nomadic Warrior's Cookbook [1],Buy from merchant: Merchant Kalé
83,,Nomadic Warrior's Cookbook [20],Buy from merchant: Nomadic Merchant Mt. Gelmir
84,,Nomadic Warrior's Cookbook [21],On ground: Volcano Manor
85,,Nomadic Warrior's Cookbook [22],On ground: Lake of Rot
86,,Nomadic Warrior's Cookbook [23],On ground: Consecrated Snowfield
87,,Nomadic Warrior's Cookbook [24],On ground: Mohgwyn Palace
88,,Nomadic Warrior's Cookbook [2],Buy from merchant: Merchant Kalé
89,,Nomadic Warrior's Cookbook [3],Buy from merchant: Nomadic Merchant North Limgrave
90,,Nomadic Warrior's Cookbook [4],On ground: Mistwood
